Country,Positive,Negative,Neutral,Total
United States,8420,1860,1817,12097
Egypt,5535,946,1304,7785
United Kingdom,1185,222,249,1656
Canada,846,177,156,1179
Philippines,729,162,146,1037
Indonesia,418,77,81,576
Australia,374,74,70,518
Malaysia,336,80,68,484
Singapore,242,54,51,347
Italy,215,64,59,338
Spain,140,22,31,193
Germany,135,25,23,183
Mexico,133,23,15,171
India,108,16,32,156
France,107,22,25,154
South Africa,99,16,18,133
Netherlands,99,17,14,130
Ireland,62,9,15,86
Sweden,54,16,15,85
Thailand,59,17,8,84
Japan,63,9,9,81
Brazil,58,10,8,76
China,47,14,7,68
Colombia,52,8,8,68
Belgium,36,17,11,64
"Venezuela, Bolivarian Republic of",47,2,14,63
Portugal,51,2,8,61
United Arab Emirates,32,14,8,54
Argentina,38,6,8,52
New Zealand,33,10,9,52
Pakistan,31,10,11,52
Chile,44,3,4,51
Saudi Arabia,44,2,1,47
Turkey,35,6,5,46
"Korea, Republic of",32,9,3,44
Poland,35,4,3,42
Kuwait,21,6,8,35
Czech Republic,26,6,2,34
Croatia,20,2,10,32
Austria,13,8,9,30
Panama,17,3,10,30
Denmark,27,1,2,30
Dominican Republic,22,3,3,28
Norway,20,1,6,27
Latvia,22,4,1,27
Russian Federation,18,1,7,26
"Taiwan, Province of China",16,4,6,26
Jamaica,16,5,4,25
Qatar,14,2,5,21
Belarus,12,4,4,20
Guam,11,2,6,19
Viet Nam,14,3,2,19
Greece,11,5,3,19
Finland,13,3,2,18
Nigeria,13,4,1,18
Peru,15,2,0,17
Hungary,9,3,5,17
Georgia,9,4,4,17
Guatemala,14,2,0,16
Ecuador,8,7,1,16
Trinidad and Tobago,11,1,4,16
Slovenia,8,4,3,15
Israel,10,3,2,15
Paraguay,8,2,5,15
Jersey,10,4,0,14
Nepal,8,3,3,14
Bahamas,8,0,5,13
Switzerland,10,1,2,13
Lebanon,8,2,3,13
Ukraine,8,1,3,12
El Salvador,11,0,1,12
Kenya,11,0,0,11
Bulgaria,3,0,8,11
Romania,9,1,1,11
Turkmenistan,9,0,1,10
Lithuania,9,1,0,10
Slovakia,7,2,1,10
Brunei Darussalam,9,0,1,10
Serbia,7,2,0,9
Equatorial Guinea,2,3,3,8
Holy See (Vatican City State),4,2,2,8
Sri Lanka,5,0,3,8
Cyprus,6,0,0,6
Costa Rica,4,1,1,6
Tunisia,5,0,1,6
Barbados,5,1,0,6
Oman,4,1,0,5
Cambodia,5,0,0,5
Malawi,3,0,2,5
Luxembourg,3,0,2,5
Bangladesh,4,0,1,5
Morocco,4,0,1,5
Jordan,2,2,1,5
Liberia,2,1,1,4
Azerbaijan,4,0,0,4
"Iran, Islamic Republic of",2,0,2,4
Bahrain,3,0,1,4
Kyrgyzstan,3,0,1,4
Honduras,3,0,1,4
Fiji,3,0,0,3
Yemen,2,0,1,3
Albania,2,0,1,3
Central African Republic,3,0,0,3
"Palestine, State of",3,0,0,3
Uruguay,2,1,0,3
Namibia,3,0,0,3
Ghana,1,1,0,2
Seychelles,1,0,1,2
Gabon,0,2,0,2
Afghanistan,1,0,1,2
Syrian Arab Republic,1,0,1,2
"Macedonia, Republic of",1,0,1,2
Iraq,2,0,0,2
"Tanzania, United Republic of",2,0,0,2
Estonia,1,1,0,2
Nicaragua,1,0,1,2
"Bolivia, Plurinational State of",2,0,0,2
Maldives,2,0,0,2
Kazakhstan,2,0,0,2
Cuba,2,0,0,2
Montenegro,1,0,0,1
Liechtenstein,1,0,0,1
Cameroon,1,0,0,1
Bosnia and Herzegovina,1,0,0,1
Guinea,1,0,0,1
Monaco,0,0,1,1
Ethiopia,1,0,0,1
Tajikistan,1,0,0,1
Solomon Islands,0,1,0,1
Bermuda,0,0,1,1
Somalia,1,0,0,1
Saint Kitts and Nevis,1,0,0,1
Guyana,1,0,0,1
Mali,1,0,0,1
Andorra,1,0,0,1
Palau,1,0,0,1
Algeria,1,0,0,1
Marshall Islands,0,0,1,1
Guernsey,1,0,0,1
Isle of Man,1,0,0,1
Uzbekistan,1,0,0,1
Malta,1,0,0,1
Suriname,1,0,0,1
Turks and Caicos Islands,1,0,0,1
Papua New Guinea,1,0,0,1
Zimbabwe,0,1,0,1
Country,0,0,0,1
Myanmar,0,0,1,1
