Country,Tweet Count
Canada,314
Turkmenistan,1
Argentina,9
Cameroon,1
Ghana,1
Saudi Arabia,19
Slovenia,3
Guatemala,1
Russian Federation,6
Germany,49
Spain,45
Liberia,1
Netherlands,48
Jamaica,1
Oman,4
New Zealand,14
Pakistan,22
United Arab Emirates,67
Guam,2
Viet Nam,5
Azerbaijan,2
Kenya,6
Turkey,14
Czech Republic,2
India,76
France,17
Syrian Arab Republic,1
Rwanda,1
Slovakia,1
Peru,4
Norway,2
Malawi,1
Singapore,27
"Iran, Islamic Republic of",1
China,5
Armenia,12
Dominican Republic,6
Ukraine,17
Bahrain,5
Tonga,1
Finland,2
Indonesia,39
United States,2582
Sweden,17
Belarus,8
Guyana,1
"Palestine, State of",1
Romania,3
Portugal,6
South Africa,38
Brunei Darussalam,1
"Venezuela, Bolivarian Republic of",12
Malaysia,50
Austria,19
Hungary,5
Brazil,5
Kuwait,15
Panama,8
"Korea, Republic of",3
Costa Rica,6
Luxembourg,1
Bahamas,1
Ireland,38
Palau,1
Nigeria,8
Ecuador,2
Bangladesh,2
Australia,135
Algeria,1
El Salvador,1
Chile,5
Belgium,10
Thailand,9
Iraq,1
Georgia,5
Denmark,6
Philippines,208
Morocco,2
Croatia,3
Switzerland,3
"Taiwan, Province of China",1
Belize,1
"Tanzania, United Republic of",1
Estonia,1
Uruguay,1
Lebanon,17
Tunisia,3
Holy See (Vatican City State),1
Colombia,5
Cyprus,5
Barbados,1
Qatar,6
Italy,25
Nepal,2
Bermuda,2
Israel,7
Senegal,1
Zimbabwe,1
Jordan,11
Poland,2
Kyrgyzstan,1
Trinidad and Tobago,2
Japan,10
Mexico,110
Egypt,1848
Serbia,1
United Kingdom,717
Greece,4
Paraguay,1
Namibia,1
